__typename,dateString,countryCode,countryName,sectorCode,sectorName,postingType,value
HiringLabSectoralPosting,2020-08-30,US,United States,sales,Sales,TOTAL,72.64
HiringLabSectoralPosting,2020-08-31,US,United States,sales,Sales,TOTAL,72.8
HiringLabSectoralPosting,2020-09-01,US,United States,sales,Sales,TOTAL,72.9
HiringLabSectoralPosting,2020-09-02,US,United States,sales,Sales,TOTAL,73.05
HiringLabSectoralPosting,2020-09-03,US,United States,sales,Sales,TOTAL,73.23
HiringLabSectoralPosting,2020-09-04,US,United States,sales,Sales,TOTAL,73.46
HiringLabSectoralPosting,2020-09-05,US,United States,sales,Sales,TOTAL,73.66
HiringLabSectoralPosting,2020-09-06,US,United States,sales,Sales,TOTAL,73.96
HiringLabSectoralPosting,2020-09-07,US,United States,sales,Sales,TOTAL,74.24
HiringLabSectoralPosting,2020-09-08,US,United States,sales,Sales,TOTAL,74.42
HiringLabSectoralPosting,2020-09-09,US,United States,sales,Sales,TOTAL,74.51
HiringLabSectoralPosting,2020-09-10,US,United States,sales,Sales,TOTAL,74.7
HiringLabSectoralPosting,2020-09-11,US,United States,sales,Sales,TOTAL,74.78
HiringLabSectoralPosting,2020-09-12,US,United States,sales,Sales,TOTAL,74.86
HiringLabSectoralPosting,2020-09-13,US,United States,sales,Sales,TOTAL,74.72
HiringLabSectoralPosting,2020-09-14,US,United States,sales,Sales,TOTAL,74.62
HiringLabSectoralPosting,2020-09-15,US,United States,sales,Sales,TOTAL,74.73
HiringLabSectoralPosting,2020-09-16,US,United States,sales,Sales,TOTAL,74.89
HiringLabSectoralPosting,2020-09-17,US,United States,sales,Sales,TOTAL,75.01
HiringLabSectoralPosting,2020-09-18,US,United States,sales,Sales,TOTAL,75.2
HiringLabSectoralPosting,2020-09-19,US,United States,sales,Sales,TOTAL,75.29
HiringLabSectoralPosting,2020-09-20,US,United States,sales,Sales,TOTAL,75.56
HiringLabSectoralPosting,2020-09-21,US,United States,sales,Sales,TOTAL,75.77
HiringLabSectoralPosting,2020-09-22,US,United States,sales,Sales,TOTAL,75.93
HiringLabSectoralPosting,2020-09-23,US,United States,sales,Sales,TOTAL,76.02
HiringLabSectoralPosting,2020-09-24,US,United States,sales,Sales,TOTAL,76.03
HiringLabSectoralPosting,2020-09-25,US,United States,sales,Sales,TOTAL,76.14
HiringLabSectoralPosting,2020-09-26,US,United States,sales,Sales,TOTAL,76.32
HiringLabSectoralPosting,2020-09-27,US,United States,sales,Sales,TOTAL,76.45
HiringLabSectoralPosting,2020-09-28,US,United States,sales,Sales,TOTAL,76.58
HiringLabSectoralPosting,2020-09-29,US,United States,sales,Sales,TOTAL,76.73
HiringLabSectoralPosting,2020-09-30,US,United States,sales,Sales,TOTAL,77.05
HiringLabSectoralPosting,2020-10-01,US,United States,sales,Sales,TOTAL,77.32
HiringLabSectoralPosting,2020-10-02,US,United States,sales,Sales,TOTAL,77.59
HiringLabSectoralPosting,2020-10-03,US,United States,sales,Sales,TOTAL,77.88
HiringLabSectoralPosting,2020-10-04,US,United States,sales,Sales,TOTAL,78.12
HiringLabSectoralPosting,2020-10-05,US,United States,sales,Sales,TOTAL,78.3
HiringLabSectoralPosting,2020-10-06,US,United States,sales,Sales,TOTAL,78.46
HiringLabSectoralPosting,2020-10-07,US,United States,sales,Sales,TOTAL,78.5
HiringLabSectoralPosting,2020-10-08,US,United States,sales,Sales,TOTAL,78.67
HiringLabSectoralPosting,2020-10-09,US,United States,sales,Sales,TOTAL,78.7
HiringLabSectoralPosting,2020-10-10,US,United States,sales,Sales,TOTAL,78.74
HiringLabSectoralPosting,2020-10-11,US,United States,sales,Sales,TOTAL,78.79
HiringLabSectoralPosting,2020-10-12,US,United States,sales,Sales,TOTAL,78.95
HiringLabSectoralPosting,2020-10-13,US,United States,sales,Sales,TOTAL,79
HiringLabSectoralPosting,2020-10-14,US,United States,sales,Sales,TOTAL,79.13
HiringLabSectoralPosting,2020-10-15,US,United States,sales,Sales,TOTAL,79.33
HiringLabSectoralPosting,2020-10-16,US,United States,sales,Sales,TOTAL,79.48
HiringLabSectoralPosting,2020-10-17,US,United States,sales,Sales,TOTAL,79.5
HiringLabSectoralPosting,2020-10-18,US,United States,sales,Sales,TOTAL,79.66
HiringLabSectoralPosting,2020-10-19,US,United States,sales,Sales,TOTAL,79.85
HiringLabSectoralPosting,2020-10-20,US,United States,sales,Sales,TOTAL,80.17
HiringLabSectoralPosting,2020-10-21,US,United States,sales,Sales,TOTAL,80.44
HiringLabSectoralPosting,2020-10-22,US,United States,sales,Sales,TOTAL,80.57
HiringLabSectoralPosting,2020-10-23,US,United States,sales,Sales,TOTAL,80.79
HiringLabSectoralPosting,2020-10-24,US,United States,sales,Sales,TOTAL,81.1
HiringLabSectoralPosting,2020-10-25,US,United States,sales,Sales,TOTAL,81.28
HiringLabSectoralPosting,2020-10-26,US,United States,sales,Sales,TOTAL,81.43
HiringLabSectoralPosting,2020-10-27,US,United States,sales,Sales,TOTAL,81.52
HiringLabSectoralPosting,2020-10-28,US,United States,sales,Sales,TOTAL,81.67
HiringLabSectoralPosting,2020-10-29,US,United States,sales,Sales,TOTAL,81.93
HiringLabSectoralPosting,2020-10-30,US,United States,sales,Sales,TOTAL,82.04
HiringLabSectoralPosting,2020-10-31,US,United States,sales,Sales,TOTAL,81.92
HiringLabSectoralPosting,2020-11-01,US,United States,sales,Sales,TOTAL,81.84
HiringLabSectoralPosting,2020-11-02,US,United States,sales,Sales,TOTAL,81.73
HiringLabSectoralPosting,2020-11-03,US,United States,sales,Sales,TOTAL,81.86
HiringLabSectoralPosting,2020-11-04,US,United States,sales,Sales,TOTAL,81.92
HiringLabSectoralPosting,2020-11-05,US,United States,sales,Sales,TOTAL,81.87
HiringLabSectoralPosting,2020-11-06,US,United States,sales,Sales,TOTAL,81.94
HiringLabSectoralPosting,2020-11-07,US,United States,sales,Sales,TOTAL,82.26
HiringLabSectoralPosting,2020-11-08,US,United States,sales,Sales,TOTAL,82.54
HiringLabSectoralPosting,2020-11-09,US,United States,sales,Sales,TOTAL,82.85
HiringLabSectoralPosting,2020-11-10,US,United States,sales,Sales,TOTAL,83
HiringLabSectoralPosting,2020-11-11,US,United States,sales,Sales,TOTAL,83.09
HiringLabSectoralPosting,2020-11-12,US,United States,sales,Sales,TOTAL,83.15
HiringLabSectoralPosting,2020-11-13,US,United States,sales,Sales,TOTAL,83.22
HiringLabSectoralPosting,2020-11-14,US,United States,sales,Sales,TOTAL,83.05
HiringLabSectoralPosting,2020-11-15,US,United States,sales,Sales,TOTAL,83.06
HiringLabSectoralPosting,2020-11-16,US,United States,sales,Sales,TOTAL,83.04
HiringLabSectoralPosting,2020-11-17,US,United States,sales,Sales,TOTAL,82.96
HiringLabSectoralPosting,2020-11-18,US,United States,sales,Sales,TOTAL,83.07
HiringLabSectoralPosting,2020-11-19,US,United States,sales,Sales,TOTAL,83.15
HiringLabSectoralPosting,2020-11-20,US,United States,sales,Sales,TOTAL,83.2
HiringLabSectoralPosting,2020-11-21,US,United States,sales,Sales,TOTAL,83.49
HiringLabSectoralPosting,2020-11-22,US,United States,sales,Sales,TOTAL,83.76
HiringLabSectoralPosting,2020-11-23,US,United States,sales,Sales,TOTAL,84.05
HiringLabSectoralPosting,2020-11-24,US,United States,sales,Sales,TOTAL,84.32
